Category,Hull_Material,Propulsion_Type,Length,Length_Type,Fuel_Type,Class,Price_range,Year_range,Location_type
Sports Fishing Boats,Fiberglass,Twin Inboard,50,Medium,Diesel,Power,260K & Higher,1980-1989,Town
Cruisers,Fiberglass,Other,33,Medium,Gas,Power,50K - 100K,2000-2009,Town
Center Consoles,Fiberglass,Other,30,Small,Gas,Power,100K - 260K,2010 & above,Town
Cruisers,Fiberglass,Twin Inboard,33,Medium,Gas,Power,25K - 50K,1980-1989,Town
Center Consoles,Fiberglass,Other,30,Small,Gas,Power,50K - 100K,2000-2009,City
Center Consoles,Fiberglass,Other,28,Small,Gas,Power,25K - 50K,2000-2009,Town
Center Consoles,Fiberglass,Single Outboard,23,Small,Gas,Power,25K - 50K,2010 & above,Town
Motor Yachts,Other,Twin Inboard,78,Medium,Diesel,Power,260K & Higher,2010 & above,Town
Sports Fishing Boats,Fiberglass,Other,38,Medium,Diesel,Power,100K - 260K,2000-2009,Town
Motor Yachts,Fiberglass,Twin Inboard,39,Medium,Diesel,Power,260K & Higher,2000-2009,City
Motor Yachts,Fiberglass,Twin Inboard,48,Medium,Diesel,Power,25K - 50K,1980-1989,Town
Cruisers,Fiberglass,Single Inboard,43,Medium,Diesel,Sails,100K - 260K,2000-2009,Town
Cruisers,Fiberglass,Other,32,Medium,Gas,Power,25K & lower,1990-1999,Town
Cruisers,Fiberglass,Other,27,Small,Gas,Power,25K - 50K,2000-2009,Town
Cruisers,Fiberglass,Twin Inboard,34,Medium,Gas,Power,50K - 100K,1990-1999,Town
Saltwater Fishing,Fiberglass,Other,28,Small,Gas,Power,50K - 100K,2010 & above,Town
Motor Yachts,Fiberglass,Twin Inboard,38,Medium,Gas,Power,100K - 260K,1990-1999,City
Motor Yachts,Fiberglass,Twin Inboard,92,Medium,Diesel,Power,260K & Higher,2000-2009,City
Cruisers,Fiberglass,Single Inboard,33,Medium,Diesel,Sails,50K - 100K,2000-2009,City
Center Consoles,Fiberglass,Single Outboard,23,Small,Gas,Power,25K - 50K,2010 & above,Town
Motor Yachts,Fiberglass,Twin Inboard,55,Medium,Diesel,Power,260K & Higher,1990-1999,Town
Saltwater Fishing,Fiberglass,Other,22,Small,Gas,Power,25K - 50K,2000-2009,Town
Center Consoles,Fiberglass,Other,19,Small,Gas,Power,25K - 50K,2010 & above,Town
Motor Yachts,Fiberglass,Twin Inboard,46,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Center Consoles,Fiberglass,Other,31,Medium,Gas,Power,50K - 100K,1990-1999,Town
Saltwater Fishing,Fiberglass,Other,20,Small,Gas,Power,25K & lower,2000-2009,Town
Cruisers,Fiberglass,Single Inboard,33,Medium,Diesel,Sails,25K & lower,1970-1979,Town
Sports Fishing Boats,Fiberglass,Twin Inboard,42,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Motor Yachts,Fiberglass,Twin Inboard,50,Medium,Diesel,Power,260K & Higher,2000-2009,City
Sports Fishing Boats,Composite,Twin Inboard,60,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Cruisers,Fiberglass,Single Inboard,32,Medium,Diesel,Sails,100K - 260K,2000-2009,Town
Center Consoles,Fiberglass,Other,26,Small,Gas,Power,25K - 50K,2000-2009,Town
Center Consoles,Fiberglass,Other,20,Small,Gas,Power,25K & lower,1990-1999,City
Bowrider,Fiberglass,Other,18,Small,Gas,Power,25K & lower,2010 & above,Town
Cruisers,Fiberglass,Twin Inboard,43,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Motor Yachts,Fiberglass,Twin Inboard,37,Medium,Diesel,Power,100K - 260K,2000-2009,Town
Cruisers,Fiberglass,Twin Inboard,30,Small,Diesel,Power,50K - 100K,2000-2009,Town
Saltwater Fishing,Fiberglass,Other,22,Small,Gas,Power,25K & lower,1990-1999,Town
Center Consoles,Fiberglass,Twin Inboard,31,Medium,Diesel,Power,50K - 100K,2000-2009,Town
Center Consoles,Fiberglass,Single Outboard,20,Small,Gas,Power,25K & lower,2000-2009,City
Cruisers,Fiberglass,Other,31,Medium,Gas,Power,100K - 260K,2010 & above,Town
Saltwater Fishing,Fiberglass,Single Outboard,24,Small,Gas,Power,50K - 100K,2010 & above,City
Motor Yachts,Fiberglass,Twin Inboard,46,Medium,Diesel,Power,260K & Higher,2000-2009,City
Cruisers,Fiberglass,Twin Inboard,38,Medium,Gas,Power,50K - 100K,2000-2009,Town
Saltwater Fishing,Fiberglass,Other,17,Small,Gas,Power,25K & lower,2000-2009,Town
Center Consoles,Fiberglass,Single Outboard,21,Small,Gas,Power,25K - 50K,2010 & above,City
Saltwater Fishing,Fiberglass,Single Outboard,22,Small,Gas,Power,50K - 100K,2010 & above,City
Bowrider,Fiberglass,Other,23,Small,Gas,Power,25K & lower,2000-2009,Town
Bowrider,Other,Other,23,Small,Gas,Power,25K - 50K,2000-2009,City
Sports Fishing Boats,Fiberglass,Twin Inboard,47,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Sports Fishing Boats,Fiberglass,Twin Inboard,53,Medium,Diesel,Power,50K - 100K,1970-1979,City
Center Consoles,Fiberglass,Single Outboard,26,Small,Gas,Power,50K - 100K,2000-2009,Town
Motor Yachts,Fiberglass,Twin Inboard,44,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Motor Yachts,Fiberglass,Other,46,Medium,Diesel,Power,260K & Higher,2010 & above,Town
Sports Fishing Boats,Fiberglass,Twin Inboard,65,Medium,Diesel,Power,260K & Higher,1990-1999,Town
Cruisers,Fiberglass,Other,31,Medium,Gas,Power,100K - 260K,2010 & above,Town
Cruisers,Fiberglass,Twin Inboard,30,Small,Gas,Power,50K - 100K,2000-2009,Town
Motor Yachts,Fiberglass,Twin Inboard,55,Medium,Diesel,Power,260K & Higher,2000-2009,City
Sports Fishing Boats,Fiberglass,Twin Inboard,30,Small,Gas,Power,50K - 100K,2000-2009,Town
Motor Yachts,Fiberglass,Twin Inboard,48,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Motor Yachts,Fiberglass,Single Inboard,53,Medium,Diesel,Power,260K & Higher,2000-2009,City
Cruisers,Fiberglass,Twin Inboard,52,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Saltwater Fishing,Fiberglass,Other,20,Small,Gas,Power,25K - 50K,2010 & above,City
Center Consoles,Fiberglass,Single Outboard,18,Small,Gas,Power,25K & lower,1990-1999,Town
Cruisers,Fiberglass,Other,27,Small,Gas,Power,25K - 50K,2010 & above,Town
Sports Fishing Boats,Fiberglass,Twin Inboard,60,Medium,Diesel,Power,260K & Higher,2010 & above,Town
Center Consoles,Fiberglass,Single Outboard,23,Small,Gas,Power,50K - 100K,2010 & above,City
Motor Yachts,Fiberglass,Twin Inboard,52,Medium,Diesel,Power,260K & Higher,2000-2009,City
Saltwater Fishing,Fiberglass,Other,36,Medium,Gas,Power,100K - 260K,2000-2009,Town
Cruisers,Fiberglass,Other,29,Small,Gas,Power,25K - 50K,2000-2009,Town
Cruisers,Fiberglass,Other,46,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Saltwater Fishing,Fiberglass,Other,19,Small,Gas,Power,25K - 50K,2000-2009,City
Bowrider,Fiberglass,Other,20,Small,Gas,Power,25K - 50K,2010 & above,City
Cruisers,Fiberglass,Other,35,Medium,Gas,Power,100K - 260K,2010 & above,Town
Saltwater Fishing,Fiberglass,Single Inboard,40,Medium,Diesel,Power,50K - 100K,2000-2009,City
Bowrider,Fiberglass,Other,25,Small,Gas,Power,25K - 50K,2000-2009,City
Cruisers,Fiberglass,Other,37,Medium,Gas,Power,100K - 260K,2010 & above,City
Cruisers,Fiberglass,Other,37,Medium,Gas,Power,260K & Higher,2010 & above,Town
Cruisers,Fiberglass,Other,35,Medium,Gas,Power,25K - 50K,1990-1999,Town
Saltwater Fishing,Fiberglass,Twin Inboard,40,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Motor Yachts,Fiberglass,Twin Inboard,66,Medium,Diesel,Power,100K - 260K,1970-1979,Town
Cruisers,Fiberglass,Single Inboard,49,Medium,Diesel,Sails,260K & Higher,2000-2009,Town
Motor Yachts,Fiberglass,Twin Inboard,47,Medium,Diesel,Power,100K - 260K,2000-2009,Town
Motor Yachts,Fiberglass,Other,56,Medium,Diesel,Power,100K - 260K,1980-1989,Town
Motor Yachts,Fiberglass,Twin Inboard,56,Medium,Diesel,Power,100K - 260K,1980-1989,City
Saltwater Fishing,Fiberglass,Twin Inboard,51,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Saltwater Fishing,Fiberglass,Other,19,Small,Gas,Power,25K & lower,2000-2009,Town
Motor Yachts,Fiberglass,Twin Inboard,46,Medium,Diesel,Power,100K - 260K,1980-1989,Town
Saltwater Fishing,Fiberglass,Other,32,Medium,Gas,Power,100K - 260K,2000-2009,City
Saltwater Fishing,Fiberglass,Single Outboard,23,Small,Gas,Power,50K - 100K,2010 & above,Town
Center Consoles,Fiberglass,Twin Outboard,30,Small,Gas,Power,50K - 100K,1990-1999,Town
Cruisers,Fiberglass,Twin Inboard,34,Medium,Gas,Power,50K - 100K,2000-2009,Town
Motor Yachts,Fiberglass,Twin Inboard,42,Medium,Diesel,Power,260K & Higher,2010 & above,Town
Sports Fishing Boats,Fiberglass,Twin Inboard,39,Medium,Diesel,Power,100K - 260K,2000-2009,City
Motor Yachts,Fiberglass,Twin Inboard,44,Medium,Diesel,Power,100K - 260K,2000-2009,Town
Cruisers,Fiberglass,Single Inboard,33,Medium,Diesel,Sails,50K - 100K,2000-2009,Town
Motor Yachts,Fiberglass,Twin Inboard,43,Medium,Diesel,Power,100K - 260K,2000-2009,City
Motor Yachts,Fiberglass,Twin Inboard,52,Medium,Diesel,Power,260K & Higher,2010 & above,Town
Motor Yachts,Fiberglass,Twin Inboard,44,Medium,Diesel,Power,100K - 260K,2000-2009,Town
Center Consoles,Other,Other,23,Small,Gas,Power,25K & lower,1990-1999,Town
Saltwater Fishing,Fiberglass,Other,19,Small,Gas,Power,25K & lower,1990-1999,City
Saltwater Fishing,Fiberglass,Single Outboard,17,Small,Gas,Power,25K & lower,2000-2009,City
Cruisers,Fiberglass,Twin Inboard,41,Medium,Diesel,Power,260K & Higher,2010 & above,City
Motor Yachts,Fiberglass,Twin Inboard,44,Medium,Diesel,Power,100K - 260K,1980-1989,Town
Center Consoles,Fiberglass,Other,39,Medium,Gas,Power,100K - 260K,2010 & above,Town
Saltwater Fishing,Composite,Other,27,Small,Gas,Power,25K - 50K,2000-2009,Town
Motor Yachts,Fiberglass,Twin Inboard,63,Medium,Diesel,Power,100K - 260K,1980-1989,Town
Saltwater Fishing,Fiberglass,Other,16,Small,Gas,Power,25K & lower,2000-2009,Town
Saltwater Fishing,Fiberglass,Other,31,Medium,Gas,Power,50K - 100K,2000-2009,City
Saltwater Fishing,Fiberglass,Other,25,Small,Gas,Power,25K - 50K,2000-2009,Town
Saltwater Fishing,Fiberglass,Twin Outboard,34,Medium,Gas,Power,50K - 100K,2000-2009,Town
Cruisers,Fiberglass,Other,27,Small,Gas,Power,25K - 50K,2000-2009,Town
Motor Yachts,Fiberglass,Twin Inboard,38,Medium,Diesel,Power,260K & Higher,2010 & above,Town
Motor Yachts,Fiberglass,Twin Inboard,70,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Bowrider,Fiberglass,Other,20,Small,Gas,Power,25K & lower,2000-2009,City
Saltwater Fishing,Fiberglass,Other,17,Small,Gas,Power,25K & lower,2000-2009,Town
Motor Yachts,Fiberglass,Twin Inboard,43,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Motor Yachts,Fiberglass,Twin Inboard,87,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Motor Yachts,Fiberglass,Twin Inboard,50,Medium,Diesel,Power,260K & Higher,2010 & above,City
Cruisers,Fiberglass,Single Inboard,34,Medium,Diesel,Sails,50K - 100K,2000-2009,City
Motor Yachts,Fiberglass,Twin Inboard,44,Medium,Diesel,Power,50K - 100K,1990-1999,City
Motor Yachts,Composite,Twin Inboard,56,Medium,Diesel,Power,100K - 260K,1960-1969,Town
Motor Yachts,Fiberglass,Twin Inboard,46,Medium,Diesel,Power,100K - 260K,2000-2009,Town
Cruisers,Fiberglass,Twin Inboard,31,Medium,Diesel,Power,100K - 260K,2000-2009,Town
Cruisers,Fiberglass,Single Inboard,39,Medium,Diesel,Sails,50K - 100K,2000-2009,Town
Saltwater Fishing,Fiberglass,Other,23,Small,Gas,Power,25K - 50K,2000-2009,Town
Motor Yachts,Fiberglass,Twin Inboard,56,Medium,Diesel,Power,260K & Higher,1980-1989,Town
Motor Yachts,Fiberglass,Twin Inboard,55,Medium,Diesel,Power,100K - 260K,1980-1989,City
Sports Fishing Boats,Fiberglass,Twin Outboard,38,Medium,Gas,Power,100K - 260K,2000-2009,Town
Cruisers,Fiberglass,Twin Inboard,33,Medium,Gas,Power,50K - 100K,2000-2009,City
Motor Yachts,Fiberglass,Twin Inboard,40,Medium,Diesel,Power,100K - 260K,2000-2009,City
Cruisers,Fiberglass,Other,32,Medium,Gas,Power,50K - 100K,2000-2009,City
Center Consoles,Fiberglass,Other,16,Small,Gas,Power,25K & lower,2000-2009,Town
Center Consoles,Fiberglass,Other,18,Small,Gas,Power,25K - 50K,2010 & above,Town
Sports Fishing Boats,Fiberglass,Triple Outboard,35,Medium,Gas,Power,100K - 260K,2000-2009,City
Center Consoles,Fiberglass,Other,34,Medium,Gas,Power,260K & Higher,2010 & above,Town
Sports Fishing Boats,Fiberglass,Other,45,Medium,Diesel,Power,260K & Higher,2000-2009,City
Sports Fishing Boats,Fiberglass,Twin Inboard,82,Medium,Diesel,Power,260K & Higher,2010 & above,Town
Bowrider,Fiberglass,Other,23,Small,Gas,Power,25K & lower,2000-2009,Town
Center Consoles,Wood,Twin Outboard,30,Small,Gas,Power,100K - 260K,2000-2009,Town
Bowrider,Fiberglass,Single Outboard,22,Small,Gas,Power,25K - 50K,2010 & above,Town
Bowrider,Fiberglass,Single Outboard,18,Small,Gas,Power,25K & lower,2010 & above,Town
Bowrider,Fiberglass,Single Outboard,18,Small,Gas,Power,25K & lower,2010 & above,Town
Center Consoles,Fiberglass,Single Outboard,17,Small,Gas,Power,25K & lower,2010 & above,Town
Sports Fishing Boats,Fiberglass,Single Inboard,38,Medium,Diesel,Power,100K - 260K,2000-2009,Town
Bowrider,Fiberglass,Other,22,Small,Gas,Power,25K - 50K,2010 & above,Town
Center Consoles,Fiberglass,Single Outboard,15,Small,Gas,Power,25K & lower,2000-2009,Town
Center Consoles,Fiberglass,Single Outboard,17,Small,Gas,Power,25K & lower,2010 & above,Town
Center Consoles,Fiberglass,Single Outboard,25,Small,Gas,Power,50K - 100K,2010 & above,Town
Bowrider,Fiberglass,Other,19,Small,Gas,Power,25K - 50K,2010 & above,Town
Bowrider,Composite,Single Outboard,21,Small,Gas,Power,25K - 50K,2010 & above,Town
Bowrider,Fiberglass,Other,19,Small,Gas,Power,25K & lower,1980-1989,Town
Center Consoles,Composite,Single Outboard,35,Medium,Gas,Power,100K - 260K,2010 & above,Town
Bowrider,Fiberglass,Other,18,Small,Gas,Power,25K - 50K,2010 & above,Town
Center Consoles,Fiberglass,Single Outboard,32,Medium,Gas,Power,50K - 100K,1990-1999,Town
Center Consoles,Composite,Single Outboard,19,Small,Gas,Power,25K & lower,1990-1999,Town
Bowrider,Fiberglass,Other,18,Small,Gas,Power,25K - 50K,2010 & above,Town
Motor Yachts,Fiberglass,Twin Inboard,42,Medium,Diesel,Power,100K - 260K,1990-1999,City
Center Consoles,Fiberglass,Single Outboard,19,Small,Gas,Power,25K & lower,2000-2009,Town
Sports Fishing Boats,Fiberglass,Other,29,Small,Gas,Power,50K - 100K,2010 & above,Town
Sports Fishing Boats,Fiberglass,Single Outboard,35,Medium,Gas,Power,100K - 260K,2010 & above,Town
Bowrider,Fiberglass,Single Outboard,17,Small,Gas,Power,25K & lower,2010 & above,Town
Sports Fishing Boats,Fiberglass,Single Outboard,21,Small,Gas,Power,50K - 100K,2010 & above,Town
Center Consoles,Fiberglass,Single Outboard,28,Small,Gas,Power,100K - 260K,2010 & above,Town
Center Consoles,Fiberglass,Single Outboard,17,Small,Gas,Power,25K & lower,2010 & above,Town
Bowrider,Fiberglass,Single Outboard,18,Small,Gas,Power,25K - 50K,2010 & above,Town
Bowrider,Fiberglass,Other,18,Small,Gas,Power,25K - 50K,2010 & above,Town
Center Consoles,Fiberglass,Single Outboard,15,Small,Gas,Power,25K & lower,2000-2009,Town
Bowrider,Fiberglass,Other,22,Small,Gas,Power,25K - 50K,2010 & above,Town
Center Consoles,Fiberglass,Single Outboard,17,Small,Gas,Power,25K & lower,2010 & above,Town
Center Consoles,Fiberglass,Single Outboard,25,Small,Gas,Power,50K - 100K,2010 & above,Town
Bowrider,Fiberglass,Single Outboard,18,Small,Gas,Power,25K & lower,2010 & above,Town
Sports Fishing Boats,Fiberglass,Single Inboard,38,Medium,Diesel,Power,100K - 260K,2000-2009,Town
Center Consoles,Fiberglass,Other,25,Small,Gas,Power,50K - 100K,2010 & above,Town
Bowrider,Fiberglass,Single Outboard,18,Small,Gas,Power,25K & lower,2010 & above,Town
Saltwater Fishing,Fiberglass,Other,18,Small,Gas,Power,25K & lower,2000-2009,Town
Saltwater Fishing,Fiberglass,Other,21,Small,Gas,Power,50K - 100K,2010 & above,Town
Bowrider,Fiberglass,Other,19,Small,Gas,Power,25K - 50K,2010 & above,Town
Bowrider,Fiberglass,Other,18,Small,Gas,Power,25K & lower,2000-2009,Town
Bowrider,Composite,Single Outboard,21,Small,Gas,Power,25K - 50K,2010 & above,Town
Center Consoles,Composite,Single Outboard,35,Medium,Gas,Power,100K - 260K,2010 & above,Town
Center Consoles,Fiberglass,Other,25,Small,Gas,Power,50K - 100K,2010 & above,Town
Bowrider,Fiberglass,Other,18,Small,Gas,Power,25K - 50K,2010 & above,Town
Center Consoles,Fiberglass,Single Outboard,28,Small,Gas,Power,100K - 260K,2010 & above,Town
Center Consoles,Fiberglass,Other,16,Small,Gas,Power,25K & lower,2010 & above,Town
Center Consoles,Composite,Single Outboard,21,Small,Gas,Power,25K - 50K,2010 & above,Town
Center Consoles,Fiberglass,Other,28,Small,Gas,Power,100K - 260K,2010 & above,Town
Center Consoles,Composite,Single Outboard,19,Small,Gas,Power,25K & lower,1990-1999,Town
Center Consoles,Fiberglass,Other,30,Small,Gas,Power,100K - 260K,2010 & above,Town
Center Consoles,Fiberglass,Single Outboard,17,Small,Gas,Power,25K & lower,2000-2009,Town
Center Consoles,Fiberglass,Single Outboard,17,Small,Gas,Power,25K & lower,2000-2009,Town
Center Consoles,Fiberglass,Other,28,Small,Gas,Power,100K - 260K,2010 & above,Town
Center Consoles,Fiberglass,Other,22,Small,Gas,Power,50K - 100K,2010 & above,Town
Bowrider,Fiberglass,Other,18,Small,Gas,Power,25K - 50K,2010 & above,Town
Center Consoles,Fiberglass,Single Outboard,17,Small,Gas,Power,25K & lower,2000-2009,Town
Bowrider,Fiberglass,Other,21,Small,Gas,Power,50K - 100K,2010 & above,Town
Center Consoles,Fiberglass,Single Outboard,25,Small,Gas,Power,50K - 100K,2010 & above,Town
Bowrider,Fiberglass,Single Outboard,18,Small,Gas,Power,25K & lower,2010 & above,Town
Bowrider,Fiberglass,Single Outboard,18,Small,Gas,Power,25K & lower,2010 & above,Town
Center Consoles,Fiberglass,Single Outboard,17,Small,Gas,Power,25K & lower,2010 & above,Town
Bowrider,Fiberglass,Single Outboard,18,Small,Gas,Power,25K & lower,2010 & above,Town
Bowrider,Composite,Single Outboard,21,Small,Gas,Power,25K - 50K,2010 & above,Town
Bowrider,Fiberglass,Other,19,Small,Gas,Power,25K & lower,1980-1989,Town
Sports Fishing Boats,Fiberglass,Single Inboard,38,Medium,Diesel,Power,100K - 260K,2000-2009,Town
Center Consoles,Fiberglass,Single Outboard,17,Small,Gas,Power,25K & lower,2010 & above,Town
Bowrider,Fiberglass,Other,18,Small,Gas,Power,25K - 50K,2010 & above,Town
Center Consoles,Fiberglass,Single Outboard,28,Small,Gas,Power,100K - 260K,2010 & above,Town
Center Consoles,Fiberglass,Single Outboard,15,Small,Gas,Power,25K & lower,2000-2009,Town
Center Consoles,Composite,Single Outboard,19,Small,Gas,Power,25K & lower,1990-1999,Town
Bowrider,Fiberglass,Other,18,Small,Gas,Power,25K - 50K,2010 & above,Town
Bowrider,Fiberglass,Other,22,Small,Gas,Power,25K - 50K,2010 & above,Town
Saltwater Fishing,Fiberglass,Twin Outboard,28,Small,Gas,Power,100K - 260K,2010 & above,Town
Bowrider,Fiberglass,Other,21,Small,Gas,Power,25K & lower,2000-2009,Town
Bowrider,Fiberglass,Other,21,Small,Gas,Power,25K & lower,2000-2009,Town
Bowrider,Fiberglass,Other,19,Small,Gas,Power,25K - 50K,2010 & above,Town
Center Consoles,Fiberglass,Single Outboard,23,Small,Gas,Power,50K - 100K,2010 & above,Town
Center Consoles,Fiberglass,Single Outboard,21,Small,Gas,Power,25K - 50K,2010 & above,Town
Motor Yachts,Fiberglass,Other,55,Medium,Diesel,Power,260K & Higher,2010 & above,Town
Saltwater Fishing,Fiberglass,Other,28,Small,Gas,Power,25K - 50K,1990-1999,Town
Sports Fishing Boats,Fiberglass,Other,39,Medium,Gas,Power,100K - 260K,2000-2009,Town
Sports Fishing Boats,Fiberglass,Other,35,Medium,Gas,Power,100K - 260K,2000-2009,Town
Cruisers,Wood,Twin Inboard,31,Medium,Gas,Power,50K - 100K,1980-1989,Town
Cruisers,Fiberglass,Other,32,Medium,Gas,Power,100K - 260K,2010 & above,Town
Sports Fishing Boats,Fiberglass,Other,37,Medium,Gas,Power,25K & lower,1980-1989,Town
Center Consoles,Fiberglass,Single Outboard,24,Small,Gas,Power,50K - 100K,2010 & above,City
Center Consoles,Fiberglass,Single Outboard,15,Small,Gas,Power,25K & lower,2000-2009,Town
Cruisers,Fiberglass,Single Outboard,23,Small,Gas,Sails,25K & lower,1980-1989,Town
Center Consoles,Fiberglass,Other,18,Small,Gas,Power,25K & lower,1990-1999,Town
Center Consoles,Fiberglass,Other,28,Small,Gas,Power,100K - 260K,2010 & above,Town
Center Consoles,Fiberglass,Twin Outboard,29,Small,Gas,Power,100K - 260K,2010 & above,Town
Center Consoles,Fiberglass,Other,23,Small,Gas,Power,25K - 50K,2000-2009,City
Saltwater Fishing,Fiberglass,Single Outboard,25,Small,Gas,Power,50K - 100K,2010 & above,Town
Center Consoles,Fiberglass,Other,20,Small,Gas,Power,25K & lower,1990-1999,Town
Bowrider,Fiberglass,Other,18,Small,Gas,Power,25K & lower,2010 & above,Town
Motor Yachts,Fiberglass,Twin Inboard,43,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Cruisers,Fiberglass,Single Inboard,36,Medium,Diesel,Sails,50K - 100K,1980-1989,Town
Sports Fishing Boats,Fiberglass,Other,31,Medium,Diesel,Power,25K - 50K,1980-1989,Town
Bowrider,Fiberglass,Other,18,Small,Gas,Power,25K & lower,2010 & above,Town
Saltwater Fishing,Fiberglass,Other,20,Small,Gas,Power,25K & lower,2000-2009,Town
Bowrider,Fiberglass,Single Outboard,18,Small,Gas,Power,25K & lower,2000-2009,Town
Sports Fishing Boats,Fiberglass,Twin Inboard,77,Medium,Diesel,Power,260K & Higher,2010 & above,City
Cruisers,Fiberglass,Twin Inboard,34,Medium,Gas,Power,50K - 100K,2000-2009,City
Center Consoles,Fiberglass,Single Outboard,22,Small,Gas,Power,50K - 100K,2010 & above,Town
Cruisers,Fiberglass,Other,32,Medium,Gas,Power,25K - 50K,2000-2009,Town
Cruisers,Fiberglass,Twin Inboard,57,Medium,Diesel,Power,260K & Higher,2010 & above,Town
Center Consoles,Fiberglass,Single Inboard,27,Small,Gas,Power,25K & lower,2000-2009,Town
Cruisers,Fiberglass,Single Inboard,35,Medium,Diesel,Power,100K - 260K,2000-2009,Town
Center Consoles,Fiberglass,Single Outboard,21,Small,Gas,Power,25K - 50K,2010 & above,Town
Motor Yachts,Fiberglass,Twin Inboard,33,Medium,Gas,Power,50K - 100K,2000-2009,City
Center Consoles,Fiberglass,Single Outboard,18,Small,Gas,Power,25K & lower,2000-2009,Town
Saltwater Fishing,Fiberglass,Other,37,Medium,Gas,Power,260K & Higher,2010 & above,Town
Saltwater Fishing,Fiberglass,Other,21,Small,Gas,Power,25K & lower,1980-1989,Town
Saltwater Fishing,Fiberglass,Other,22,Small,Gas,Power,25K & lower,2000-2009,Town
Center Consoles,Fiberglass,Single Outboard,36,Medium,Gas,Power,50K - 100K,2000-2009,Town
Bowrider,Fiberglass,Other,26,Small,Gas,Power,25K & lower,2000-2009,City
Center Consoles,Fiberglass,Triple Outboard,37,Medium,Gas,Power,260K & Higher,2010 & above,Town
Cruisers,Fiberglass,Other,24,Small,Gas,Power,25K - 50K,2000-2009,City
Motor Yachts,Fiberglass,Twin Inboard,50,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Cruisers,Fiberglass,Other,41,Medium,Diesel,Sails,50K - 100K,1990-1999,Town
Motor Yachts,Fiberglass,Twin Inboard,75,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Motor Yachts,Fiberglass,Twin Inboard,74,Medium,Diesel,Power,260K & Higher,1990-1999,Town
Motor Yachts,Fiberglass,Twin Inboard,87,Medium,Diesel,Power,260K & Higher,2000-2009,Town
Cruisers,Fiberglass,Other,28,Small,Gas,Power,25K - 50K,2000-2009,City
Center Consoles,Fiberglass,Twin Outboard,34,Medium,Gas,Power,100K - 260K,2000-2009,Town
Cruisers,Fiberglass,Other,33,Medium,Gas,Power,50K - 100K,2000-2009,Town
Cruisers,Fiberglass,Twin Inboard,40,Medium,Diesel,Power,100K - 260K,2000-2009,Town
Center Consoles,Fiberglass,Other,32,Medium,Gas,Power,100K - 260K,2010 & above,Town
Center Consoles,Fiberglass,Other,17,Small,Gas,Power,25K - 50K,2000-2009,Town
Center Consoles,Fiberglass,Other,32,Medium,Gas,Power,100K - 260K,2010 & above,Town
Center Consoles,Fiberglass,Other,16,Small,Gas,Power,25K & lower,2010 & above,Town
Bowrider,Fiberglass,Other,17,Small,Gas,Power,25K & lower,2010 & above,Town
Center Consoles,Fiberglass,Other,18,Small,Gas,Power,25K - 50K,2010 & above,Town
Center Consoles,Fiberglass,Other,29,Small,Gas,Power,100K - 260K,2010 & above,Town
Center Consoles,Fiberglass,Other,21,Small,Gas,Power,25K & lower,2000-2009,Town
Cruisers,Fiberglass,Other,25,Small,Gas,Power,25K - 50K,2000-2009,Town
Cruisers,Fiberglass,Other,30,Small,Gas,Power,100K - 260K,2010 & above,Town
Center Consoles,Fiberglass,Triple Outboard,34,Medium,Gas,Power,50K - 100K,2000-2009,City
Cruisers,Fiberglass,Single Inboard,55,Medium,Diesel,Sails,100K - 260K,1980-1989,City
Center Consoles,Fiberglass,Other,21,Small,Gas,Power,25K - 50K,2010 & above,Town
Sports Fishing Boats,Fiberglass,Twin Inboard,45,Medium,Diesel,Power,100K - 260K,1980-1989,Town
Cruisers,Fiberglass,Twin Inboard,30,Small,Gas,Power,25K - 50K,1990-1999,Town
Saltwater Fishing,Fiberglass,Twin Inboard,28,Small,Diesel,Power,50K - 100K,1990-1999,Town
Motor Yachts,Fiberglass,Twin Inboard,65,Medium,Diesel,Power,260K & Higher,1990-1999,City
Motor Yachts,Fiberglass,Twin Inboard,44,Medium,Diesel,Power,100K - 260K,2000-2009,Town
Center Consoles,Fiberglass,Other,26,Small,Gas,Power,100K - 260K,2010 & above,Town
Center Consoles,Fiberglass,Single Outboard,28,Small,Gas,Power,25K - 50K,2000-2009,Town
Cruisers,Fiberglass,Other,46,Medium,Diesel,Sails,50K - 100K,1990-1999,Town
Center Consoles,Fiberglass,Other,28,Small,Gas,Power,25K - 50K,1990-1999,Town
